CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
01,Aguascalientes,01001,Aguascalientes,M01.01,Aguascalientes,894812,910036,923323,936373,949277,961977,974529,986919,999203,1011346,1023372,1035303,1047149,1058899,1070563,1082166
01,Aguascalientes,01005,Jesús María,M01.01,Aguascalientes,116550,119786,122630,125318,127835,130184,132340,134297,136045,137570,138855,139897,140677,141173,141368,141257
01,Aguascalientes,01011,San Francisco de los Romo,M01.01,Aguascalientes,44903,46474,47885,49211,50441,51568,52584,53467,54216,54823,55261,55536,55627,55525,55218,54690
02,Baja California,02001,Ensenada,M02.01,Ensenada,494282,501156,510093,518900,527584,536143,544568,552852,560983,568952,576751,584380,591830,599106,606204,613131
02,Baja California,02002,Mexicali,M02.02,Mexicali,1002808,1016212,1034059,1051870,1069676,1087478,1105279,1123056,1140795,1158483,1176106,1193648,1211102,1228458,1245707,1262856
02,Baja California,02003,Tecate,M02.03,Tijuana,105428,106808,108624,110402,112147,113857,115534,117180,118796,120380,121935,123461,124964,126433,127877,129303
02,Baja California,02004,Tijuana,M02.03,Tijuana,1657305,1679399,1708186,1736099,1763197,1789531,1815100,1839915,1863973,1887268,1909798,1931568,1952573,1972814,1992312,2011060
02,Baja California,02005,Playas de Rosarito,M02.03,Tijuana,97971,99760,101910,103971,105957,107859,109679,111412,113063,114622,116093,117464,118746,119932,121015,121999
03,Baja California Sur,03003,La Paz,M03.01,La Paz,277273,281907,286751,291685,296751,301961,307330,312859,318581,324508,330664,337053,343704,350650,357921,365534
04,Campeche,04002,Campeche,M04.01,Campeche,290268,295650,301162,306615,312045,317424,322756,328054,333316,338522,343715,348860,353977,359074,364128,369181
05,Coahuila de Zaragoza,05009,Francisco I. Madero,M05.01,La Laguna,59792,60677,61625,62578,63527,64483,65435,66380,67322,68252,69168,70067,70948,71808,72646,73454
05,Coahuila de Zaragoza,05017,Matamoros,M05.01,La Laguna,113075,114258,115549,116849,118161,119492,120851,122229,123643,125086,126561,128075,129627,131220,132860,134536
05,Coahuila de Zaragoza,05035,Torreón,M05.01,La Laguna,693423,703220,713596,723884,734103,744247,754337,764347,774273,784131,793902,803599,813199,822722,832161,841513
10,Durango,10007,Gómez Palacio,M05.01,La Laguna,353353,357319,360651,363821,366852,369760,372559,375262,377882,380433,382925,385367,387772,390149,392517,394880
10,Durango,10012,Lerdo,M05.01,La Laguna,155266,157550,159515,161372,163121,164763,166296,167723,169044,170257,171367,172364,173252,174024,174690,175226
05,Coahuila de Zaragoza,05006,Castaños,M05.02,Monclova-Frontera,28452,28855,29282,29712,30142,30568,30992,31412,31827,32237,32644,33043,33438,33829,34212,34585
05,Coahuila de Zaragoza,05010,Frontera,M05.02,Monclova-Frontera,82408,83452,84575,85697,86818,87942,89065,90189,91308,92426,93545,94659,95774,96891,98005,99126
05,Coahuila de Zaragoza,05018,Monclova,M05.02,Monclova-Frontera,236080,238885,241944,245036,248170,251346,254558,257813,261122,264473,267879,271341,274860,278448,282107,285846
05,Coahuila de Zaragoza,05031,San Buenaventura,M05.02,Monclova-Frontera,23998,24329,24695,25063,25440,25820,26204,26591,26985,27377,27770,28161,28555,28950,29344,29735
05,Coahuila de Zaragoza,05022,Nava,M05.03,Piedras Negras,30953,31394,31843,32278,32693,33101,33491,33870,34235,34585,34928,35260,35583,35893,36193,36483
05,Coahuila de Zaragoza,05025,Piedras Negras,M05.03,Piedras Negras,167162,169154,171246,173285,175285,177255,179190,181109,183008,184893,186779,188658,190548,192451,194376,196327
05,Coahuila de Zaragoza,05004,Arteaga,M05.04,Saltillo,23872,24171,24493,24819,25145,25477,25815,26158,26503,26856,27211,27575,27942,28315,28697,29081
