CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,POB_2018,CVE_LOC,NOM_LOC
01,Aguascalientes,01011,San Francisco de los Romo,M01.01,Aguascalientes,42530.75173,,
01,Aguascalientes,01005,Jesús María,M01.01,Aguascalientes,116699.58791,,
01,Aguascalientes,01001,Aguascalientes,M01.01,Aguascalientes,897330.6305,,
02,Baja California,02005,Playas de Rosarito,M02.03,Tijuana,110682.85015,,
02,Baja California,02003,Tecate,M02.03,Tijuana,115569.74457,,
02,Baja California,02004,Tijuana,M02.03,Tijuana,1798741.05247,,
02,Baja California,02002,Mexicali,M02.02,Mexicali,1065882.36661,,
02,Baja California,02001,Ensenada,M02.01,Ensenada,542896.18468,,
03,Baja California Sur,03003,La Paz,M03.01,La Paz,313203.61804,,
04,Campeche,04002,Campeche,M04.01,Campeche,298741.25001,,
05,Coahuila de Zaragoza,05035,Torreón,M05.01,La Laguna,716671.85453,,
05,Coahuila de Zaragoza,05022,Nava,M05.03,Piedras Negras,30726.24561,,
05,Coahuila de Zaragoza,05010,Frontera,M05.02,Monclova-Frontera,82482.3151,,
05,Coahuila de Zaragoza,05009,Francisco I. Madero,M05.01,La Laguna,61322.31495,,
05,Coahuila de Zaragoza,05017,Matamoros,M05.01,La Laguna,117349.04508,,
05,Coahuila de Zaragoza,05031,San Buenaventura,M05.02,Monclova-Frontera,24927.2196,,
05,Coahuila de Zaragoza,05025,Piedras Negras,M05.03,Piedras Negras,166761.91889,,
05,Coahuila de Zaragoza,05006,Castaños,M05.02,Monclova-Frontera,28545.97676,,
05,Coahuila de Zaragoza,05004,Arteaga,M05.04,Saltillo,25362.14146,,
05,Coahuila de Zaragoza,05018,Monclova,M05.02,Monclova-Frontera,238102.86916,,
05,Coahuila de Zaragoza,05027,Ramos Arizpe,M05.04,Saltillo,92858.86764,,
05,Coahuila de Zaragoza,05030,Saltillo,M05.04,Saltillo,817441.99021,,
06,Colima,06010,Villa de Álvarez,M06.01,Colima-Villa de Álvarez,145486.22437,,
