CVEGEO,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09
00000,4661.0,5014.0,5399.0,5847.0,6297.0,6875.0,7497.0,8261.0,8772.0,9501.0,10544.0,11633.0,12872.0,13842.0,14677.0,15529.0,16752.0,17799.0,19224.0,20739.0,22088.0,23471.0,24905.0,26025.0,27634.0,29616.0,31522.0,33460.0,35022.0,36327.0,38324.0,40186.0,42595.0,45032.0,47144.0,49219.0,51633.0,54346.0,56594.0,59567.0,62527.0,65856.0,68620.0,71105.0,74560.0,78023.0,81400.0,84627.0,87512.0,90664.0,93435.0,97326.0,101238.0,105680.0,110026.0,113619.0,117103.0,120102.0,124301.0,129184.0,133974.0,139196.0,142690.0,146837.0,150264.0,154863.0,159793.0,165455.0,170485.0,175202.0,180545.0,185122.0,191410.0,196847.0,202951.0,208392.0,212802.0,216852.0,220657.0,226089.0,231770.0,238511.0,245251.0,252165.0,256848.0,261750.0,268008.0,275003.0,282283.0
01,55.0,55.0,65.0,65.0,71.0,77.0,77.0,81.0,81.0,81.0,100.0,106.0,146.0,147.0,148.0,161.0,167.0,185.0,205.0,224.0,253.0,265.0,286.0,289.0,292.0,292.0,301.0,303.0,330.0,352.0,382.0,398.0,407.0,443.0,442.0,472.0,477.0,515.0,558.0,586.0,609.0,614.0,616.0,649.0,676.0,716.0,769.0,797.0,816.0,816.0,841.0,890.0,939.0,1035.0,1072.0,1104.0,1104.0,1160.0,1222.0,1251.0,1320.0,1401.0,1431.0,1431.0,1467.0,1561.0,1619.0,1684.0,1757.0,1819.0,1876.0,1906.0,1960.0,2035.0,2071.0,2131.0,2161.0,2219.0,2257.0,2340.0,2363.0,2399.0,2415.0,2438.0,2440.0,2530.0,2624.0,2731.0,2775.0
02,336.0,367.0,411.0,463.0,504.0,534.0,608.0,679.0,740.0,914.0,985.0,1075.0,1156.0,1197.0,1271.0,1301.0,1391.0,1495.0,1557.0,1569.0,1582.0,1660.0,1808.0,1989.0,2097.0,2176.0,2276.0,2365.0,2428.0,2448.0,2576.0,2764.0,2856.0,3040.0,3168.0,3255.0,3330.0,3487.0,3603.0,3780.0,3944.0,4097.0,4218.0,4250.0,4421.0,4590.0,4777.0,4886.0,5027.0,5075.0,5127.0,5231.0,5460.0,5604.0,5784.0,5976.0,6087.0,6138.0,6297.0,6436.0,6620.0,6766.0,6852.0,6895.0,7039.0,7120.0,7242.0,7403.0,7559.0,7711.0,7790.0,7898.0,8057.0,8164.0,8272.0,8487.0,8647.0,8722.0,8755.0,8923.0,9221.0,9423.0,9639.0,9780.0,9854.0,9892.0,10143.0,10286.0,10429.0
03,120.0,153.0,164.0,165.0,166.0,169.0,173.0,193.0,205.0,228.0,240.0,241.0,247.0,266.0,284.0,285.0,292.0,301.0,308.0,322.0,330.0,339.0,344.0,351.0,358.0,368.0,373.0,379.0,387.0,398.0,401.0,409.0,420.0,439.0,445.0,459.0,462.0,469.0,476.0,502.0,504.0,521.0,533.0,541.0,549.0,557.0,568.0,594.0,606.0,631.0,643.0,660.0,698.0,714.0,735.0,754.0,765.0,786.0,812.0,869.0,918.0,923.0,961.0,992.0,1002.0,1040.0,1055.0,1122.0,1128.0,1188.0,1221.0,1254.0,1275.0,1287.0,1324.0,1384.0,1389.0,1437.0,1487.0,1529.0,1578.0,1631.0,1680.0,1744.0,1784.0,1811.0,1897.0,1937.0,2109.0
04,20.0,22.0,25.0,28.0,28.0,29.0,37.0,38.0,43.0,46.0,49.0,49.0,60.0,63.0,69.0,76.0,81.0,87.0,93.0,100.0,109.0,113.0,122.0,125.0,147.0,157.0,166.0,181.0,193.0,209.0,211.0,226.0,253.0,280.0,288.0,296.0,306.0,319.0,328.0,354.0,378.0,406.0,429.0,443.0,452.0,486.0,522.0,535.0,563.0,583.0,608.0,612.0,635.0,679.0,688.0,727.0,757.0,792.0,814.0,848.0,904.0,925.0,963.0,997.0,1032.0,1056.0,1096.0,1154.0,1207.0,1254.0,1324.0,1383.0,1436.0,1503.0,1581.0,1654.0,1717.0,1810.0,1859.0,1916.0,1998.0,2092.0,2170.0,2261.0,2379.0,2452.0,2523.0,2606.0,2693.0
05,161.0,180.0,198.0,199.0,220.0,223.0,238.0,243.0,260.0,271.0,284.0,295.0,317.0,340.0,348.0,358.0,368.0,369.0,407.0,420.0,440.0,453.0,476.0,489.0,491.0,501.0,537.0,553.0,562.0,572.0,584.0,616.0,625.0,644.0,667.0,679.0,682.0,707.0,749.0,772.0,813.0,816.0,824.0,876.0,917.0,965.0,980.0,1015.0,1084.0,1084.0,1088.0,1169.0,1254.0,1307.0,1350.0,1420.0,1513.0,1560.0,1612.0,1658.0,1846.0,1884.0,1909.0,1969.0,2053.0,2288.0,2371.0,2499.0,2626.0,2750.0,2869.0,2912.0,3123.0,3225.0,3479.0,3688.0,3791.0,3999.0,4270.0,4573.0,4883.0,5213.0,5360.0,5513.0,5776.0,5997.0,6247.0,6484.0,6659.0
06,7.0,8.0,8.0,8.0,8.0,10.0,11.0,12.0,12.0,15.0,15.0,16.0,16.0,17.0,19.0,24.0,26.0,26.0,27.0,28.0,29.0,29.0,30.0,31.0,31.0,35.0,38.0,38.0,44.0,45.0,46.0,46.0,54.0,58.0,62.0,69.0,75.0,79.0,83.0,91.0,97.0,100.0,112.0,115.0,118.0,128.0,135.0,136.0,141.0,151.0,154.0,158.0,170.0,180.0,196.0,205.0,214.0,217.0,224.0,240.0,252.0,264.0,276.0,291.0,298.0,307.0,324.0,339.0,353.0,363.0,385.0,400.0,428.0,439.0,459.0,484.0,502.0,529.0,542.0,551.0,578.0,603.0,643.0,664.0,691.0,715.0,726.0,757.0,775.0
07,43.0,43.0,45.0,49.0,55.0,60.0,64.0,70.0,71.0,79.0,87.0,99.0,104.0,118.0,122.0,132.0,141.0,165.0,177.0,193.0,216.0,227.0,231.0,241.0,263.0,291.0,330.0,367.0,394.0,419.0,433.0,450.0,502.0,533.0,600.0,653.0,688.0,737.0,808.0,895.0,971.0,1050.0,1164.0,1224.0,1289.0,1402.0,1471.0,1566.0,1711.0,1869.0,1928.0,2013.0,2039.0,2158.0,2283.0,2487.0,2610.0,2613.0,2779.0,2868.0,2959.0,3099.0,3143.0,3241.0,3309.0,3402.0,3447.0,3550.0,3617.0,3670.0,3778.0,3850.0,3924.0,4034.0,4146.0,4224.0,4275.0,4339.0,4383.0,4489.0,4612.0,4649.0,4681.0,4796.0,4882.0,4959.0,5020.0,5050.0,5086.0
08,62.0,68.0,70.0,84.0,107.0,114.0,130.0,146.0,150.0,153.0,174.0,193.0,212.0,240.0,258.0,271.0,314.0,325.0,351.0,400.0,452.0,512.0,532.0,581.0,600.0,617.0,632.0,658.0,674.0,693.0,730.0,768.0,799.0,874.0,898.0,917.0,917.0,960.0,1014.0,1093.0,1121.0,1170.0,1186.0,1193.0,1278.0,1356.0,1400.0,1505.0,1569.0,1616.0,1627.0,1696.0,1731.0,1771.0,1807.0,1829.0,1909.0,1917.0,1963.0,2073.0,2103.0,2150.0,2222.0,2271.0,2281.0,2345.0,2404.0,2447.0,2482.0,2541.0,2622.0,2638.0,2665.0,2730.0,2839.0,2911.0,2947.0,2958.0,3007.0,3062.0,3112.0,3211.0,3265.0,3347.0,3385.0,3426.0,3484.0,3552.0,3652.0
09,1173.0,1266.0,1374.0,1480.0,1592.0,1804.0,1984.0,2232.0,2323.0,2459.0,2815.0,3157.0,3532.0,3764.0,3966.0,4152.0,4474.0,4782.0,5209.0,5548.0,6013.0,6417.0,6785.0,6999.0,7521.0,8129.0,8705.0,9218.0,9737.0,9983.0,10529.0,10946.0,11664.0,12456.0,13076.0,13672.0,14566.0,15283.0,15844.0,16758.0,17690.0,18912.0,19682.0,20235.0,20999.0,21826.0,22698.0,23623.0,24265.0,25018.0,25787.0,26509.0,27326.0,28389.0,29580.0,30223.0,30831.0,31493.0,32256.0,33173.0,34077.0,35272.0,35954.0,36879.0,37503.0,38117.0,38871.0,40021.0,41007.0,41777.0,42479.0,42903.0,43596.0,44243.0,45125.0,45977.0,46610.0,47047.0,47437.0,48014.0,48568.0,49573.0,50592.0,51658.0,52210.0,52658.0,53423.0,54405.0,55344.0
