CVEGEO,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16
00000,2.0,,2.0,,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,6.0,7.0,6.0,7.0,7.0,9.0,19.0,21.0,60.0,47.0,48.0,55.0,81.0,88.0,95.0,129.0,100.0,118.0,103.0,168.0,123.0,133.0,200.0,161.0,177.0,218.0,252.0,241.0,227.0,303.0,268.0,331.0,323.0,340.0,321.0,289.0,341.0,258.0,253.0,194.0,266.0,170.0,136.0,97.0,49.0,11.0,2.0
01,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,2.0,4.0,2.0,3.0,,5.0,9.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,,2.0,,
02,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,4.0,2.0,2.0,5.0,4.0,11.0,10.0,14.0,6.0,7.0,16.0,20.0,15.0,22.0,25.0,23.0,33.0,30.0,25.0,35.0,45.0,30.0,34.0,18.0,20.0,15.0,13.0,8.0,17.0,11.0,6.0,4.0,,,
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,1.0,4.0,5.0,5.0,2.0,5.0,5.0,8.0,10.0,4.0,12.0,12.0,14.0,15.0,16.0,13.0,14.0,9.0,3.0,1.0,,3.0,,2.0,,1.0,,
04,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,1.0,,2.0,,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,,,,
05,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,2.0,3.0,4.0,4.0,7.0,9.0,4.0,10.0,9.0,8.0,9.0,16.0,13.0,11.0,19.0,10.0,10.0,9.0,8.0,9.0,4.0,6.0,8.0,4.0,6.0,4.0,4.0,2.0,5.0,2.0,,
06,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,
07,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,3.0,4.0,1.0,4.0,,3.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,4.0,1.0,1.0,4.0,,1.0,,,
08,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,,4.0,6.0,,9.0,5.0,7.0,11.0,3.0,4.0,7.0,8.0,8.0,3.0,6.0,4.0,,1.0,,,
09,1.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,8.0,5.0,18.0,20.0,18.0,14.0,31.0,31.0,33.0,36.0,22.0,23.0,32.0,44.0,19.0,27.0,34.0,36.0,34.0,69.0,49.0,52.0,42.0,67.0,61.0,86.0,73.0,83.0,85.0,88.0,93.0,68.0,64.0,77.0,88.0,56.0,44.0,27.0,19.0,4.0,
10,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,3.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,
11,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,3.0,3.0,10.0,3.0,2.0,1.0,7.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,,1.0,1.0,6.0,7.0,5.0,3.0,5.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,1.0,
12,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,,1.0,2.0,5.0,5.0,4.0,5.0,8.0,10.0,5.0,8.0,3.0,12.0,4.0,6.0,1.0,1.0,3.0,1.0,,
13,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,,2.0,,2.0,2.0,3.0,1.0,,5.0,3.0,2.0,3.0,4.0,1.0,5.0,5.0,4.0,,,4.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,,
14,,,,,,,,,,,,,,2.0,,,1.0,,2.0,1.0,3.0,3.0,4.0,6.0,8.0,8.0,8.0,2.0,6.0,12.0,8.0,,8.0,10.0,6.0,5.0,4.0,4.0,1.0,8.0,2.0,4.0,8.0,5.0,2.0,7.0,8.0,2.0,3.0,5.0,7.0,6.0,3.0,3.0,1.0,2.0,1.0,,,
15,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,3.0,1.0,1.0,,5.0,3.0,11.0,2.0,4.0,7.0,10.0,10.0,13.0,19.0,9.0,10.0,9.0,18.0,15.0,19.0,27.0,22.0,32.0,36.0,41.0,30.0,28.0,54.0,40.0,53.0,38.0,46.0,52.0,40.0,62.0,35.0,42.0,36.0,46.0,26.0,22.0,14.0,3.0,1.0,1.0
16,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,8.0,1.0,2.0,4.0,,1.0,,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,1.0,4.0,5.0,13.0,5.0,3.0,4.0,1.0,6.0,4.0,,1.0,
17,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,2.0,2.0,3.0,1.0,4.0,3.0,8.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,1.0,8.0,3.0,1.0,5.0,,,
18,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,2.0,1.0,,,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,,4.0,1.0,1.0,1.0,,,
19,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,9.0,2.0,5.0,2.0,6.0,8.0,7.0,3.0,8.0,6.0,5.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,7.0,4.0,9.0,7.0,2.0,6.0,7.0,4.0,6.0,1.0,3.0,5.0,,,,,
20,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,,,4.0,2.0,3.0,2.0,,2.0,3.0,4.0,,1.0,,1.0,,
21,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,11.0,4.0,6.0,,9.0,9.0,9.0,15.0,7.0,4.0,6.0,13.0,24.0,23.0,17.0,9.0,16.0,16.0,16.0,11.0,12.0,13.0,7.0,,3.0,9.0,3.0,7.0,8.0,3.0,,
22,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,,3.0,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,,
23,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,3.0,1.0,3.0,4.0,6.0,2.0,3.0,6.0,4.0,7.0,9.0,6.0,10.0,6.0,11.0,6.0,20.0,13.0,16.0,16.0,9.0,13.0,14.0,15.0,11.0,20.0,15.0,8.0,8.0,4.0,6.0,,,1.0,,1.0,
24,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,,5.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,,1.0,,1.0,,2.0,,,1.0,,,
25,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,2.0,3.0,2.0,1.0,3.0,5.0,6.0,6.0,16.0,11.0,9.0,11.0,13.0,10.0,15.0,16.0,23.0,16.0,18.0,22.0,20.0,19.0,20.0,20.0,18.0,13.0,17.0,17.0,11.0,1.0,3.0,,
