CVEGEO,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18
00000,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,6.0,9.0,6.0,7.0,7.0,10.0,21.0,21.0,61.0,50.0,51.0,58.0,85.0,91.0,99.0,132.0,108.0,124.0,110.0,182.0,128.0,140.0,222.0,180.0,208.0,247.0,284.0,269.0,260.0,381.0,309.0,455.0,435.0,440.0,446.0,426.0,566.0,497.0,615.0,610.0,951.0,709.0,765.0,952.0,896.0,1028.0,1016.0,1143.0,1247.0,1131.0,1811.0,1183.0,1225.0,1280.0,1525.0,1578.0,1408.0,1709.0,1517.0,1375.0,1903.0,2563.0,1840.0,1755.0,2239.0,2237.0,2013.0,2271.0,2587.0,2284.0,3060.0,2852.0,2584.0,2497.0,2507.0,3614.0,2784.0,2681.0,3800.0,2999.0,4111.0,2719.0,3515.0,3304.0,3137.0,4585.0,3389.0,3298.0,3704.0,3738.0,3597.0,3358.0,5821.0,3538.0,3444.0,3511.0,4168.0,3894.0,3121.0,3679.0,2816.0,2953.0,2011.0,1788.0,1285.0,920.0,752.0,339.0,91.0,4.0
01,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,4.0,2.0,2.0,,5.0,9.0,5.0,5.0,4.0,6.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,,2.0,4.0,3.0,2.0,3.0,5.0,6.0,5.0,6.0,11.0,10.0,8.0,11.0,15.0,7.0,19.0,6.0,11.0,17.0,12.0,10.0,11.0,30.0,12.0,16.0,24.0,10.0,19.0,11.0,23.0,23.0,9.0,19.0,9.0,8.0,20.0,30.0,14.0,21.0,21.0,21.0,15.0,17.0,22.0,21.0,36.0,32.0,31.0,21.0,29.0,44.0,47.0,31.0,43.0,35.0,39.0,40.0,78.0,56.0,36.0,34.0,58.0,59.0,44.0,63.0,46.0,53.0,32.0,30.0,25.0,29.0,17.0,5.0,,
02,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,4.0,3.0,3.0,5.0,5.0,11.0,10.0,15.0,6.0,6.0,18.0,20.0,18.0,24.0,27.0,25.0,37.0,41.0,33.0,53.0,64.0,49.0,50.0,45.0,55.0,53.0,75.0,84.0,111.0,76.0,89.0,73.0,87.0,78.0,70.0,91.0,81.0,94.0,118.0,79.0,104.0,71.0,73.0,94.0,96.0,91.0,89.0,70.0,108.0,157.0,129.0,95.0,110.0,97.0,111.0,107.0,142.0,96.0,144.0,113.0,121.0,122.0,105.0,173.0,108.0,116.0,148.0,131.0,148.0,98.0,131.0,102.0,114.0,128.0,101.0,108.0,111.0,102.0,88.0,121.0,136.0,94.0,95.0,92.0,109.0,92.0,103.0,88.0,101.0,82.0,59.0,46.0,46.0,29.0,17.0,1.0,2.0,
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,1.0,4.0,5.0,5.0,2.0,5.0,6.0,8.0,9.0,4.0,15.0,12.0,18.0,17.0,22.0,20.0,20.0,13.0,6.0,8.0,6.0,13.0,12.0,10.0,8.0,7.0,6.0,5.0,7.0,11.0,6.0,13.0,1.0,12.0,6.0,10.0,9.0,4.0,4.0,3.0,5.0,11.0,16.0,6.0,7.0,5.0,16.0,5.0,11.0,9.0,5.0,11.0,7.0,12.0,14.0,12.0,13.0,10.0,14.0,17.0,7.0,19.0,8.0,13.0,17.0,20.0,14.0,20.0,15.0,16.0,20.0,16.0,10.0,28.0,36.0,29.0,27.0,18.0,34.0,36.0,41.0,32.0,28.0,18.0,11.0,14.0,9.0,6.0,,1.0,
04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,6.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,6.0,10.0,5.0,9.0,6.0,9.0,11.0,5.0,12.0,4.0,10.0,10.0,17.0,15.0,10.0,19.0,18.0,13.0,7.0,16.0,16.0,24.0,26.0,22.0,13.0,16.0,16.0,22.0,24.0,15.0,18.0,27.0,27.0,26.0,33.0,17.0,40.0,20.0,20.0,21.0,28.0,30.0,25.0,44.0,23.0,38.0,24.0,49.0,37.0,46.0,39.0,32.0,22.0,19.0,8.0,11.0,4.0,3.0,1.0,1.0,
05,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,2.0,3.0,4.0,2.0,5.0,6.0,3.0,10.0,7.0,8.0,14.0,19.0,15.0,14.0,21.0,11.0,14.0,11.0,12.0,16.0,7.0,14.0,13.0,10.0,8.0,15.0,9.0,8.0,15.0,11.0,16.0,13.0,9.0,14.0,5.0,15.0,13.0,10.0,13.0,12.0,13.0,14.0,10.0,13.0,12.0,22.0,27.0,17.0,9.0,13.0,29.0,21.0,20.0,24.0,27.0,20.0,25.0,28.0,21.0,18.0,34.0,43.0,41.0,47.0,30.0,42.0,49.0,46.0,57.0,34.0,50.0,60.0,40.0,81.0,89.0,44.0,47.0,98.0,55.0,73.0,80.0,81.0,104.0,75.0,104.0,95.0,57.0,61.0,35.0,19.0,19.0,6.0,13.0,2.0,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,,,2.0,3.0,,,2.0,,6.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,3.0,,2.0,4.0,3.0,3.0,1.0,2.0,,3.0,3.0,6.0,3.0,3.0,6.0,10.0,6.0,4.0,5.0,8.0,5.0,9.0,4.0,12.0,4.0,8.0,6.0,5.0,8.0,2.0,4.0,12.0,5.0,10.0,12.0,19.0,10.0,7.0,6.0,10.0,10.0,13.0,15.0,10.0,5.0,11.0,10.0,8.0,6.0,1.0,2.0,,
07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,3.0,4.0,1.0,4.0,,3.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,6.0,3.0,8.0,6.0,8.0,13.0,7.0,10.0,7.0,20.0,6.0,14.0,15.0,10.0,21.0,14.0,14.0,23.0,25.0,26.0,27.0,32.0,23.0,30.0,39.0,24.0,29.0,49.0,59.0,63.0,56.0,59.0,65.0,64.0,78.0,83.0,58.0,119.0,81.0,101.0,95.0,99.0,136.0,105.0,133.0,121.0,91.0,119.0,119.0,101.0,99.0,123.0,84.0,80.0,91.0,111.0,101.0,73.0,76.0,47.0,66.0,38.0,27.0,13.0,12.0,2.0,1.0,,
08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,9.0,7.0,2.0,10.0,7.0,11.0,14.0,8.0,7.0,9.0,13.0,13.0,13.0,19.0,18.0,17.0,16.0,14.0,31.0,30.0,34.0,40.0,35.0,54.0,31.0,45.0,41.0,54.0,59.0,33.0,47.0,45.0,41.0,48.0,63.0,50.0,44.0,47.0,40.0,39.0,49.0,49.0,40.0,55.0,51.0,32.0,46.0,41.0,46.0,44.0,40.0,49.0,43.0,52.0,42.0,38.0,32.0,33.0,42.0,30.0,37.0,37.0,43.0,28.0,31.0,33.0,21.0,25.0,22.0,27.0,32.0,23.0,17.0,21.0,17.0,13.0,3.0,5.0,3.0,,,,
09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,6.0,9.0,5.0,19.0,22.0,19.0,15.0,32.0,33.0,35.0,42.0,23.0,25.0,33.0,53.0,20.0,29.0,48.0,45.0,47.0,81.0,57.0,60.0,52.0,103.0,73.0,124.0,107.0,103.0,120.0,128.0,150.0,146.0,157.0,176.0,294.0,201.0,209.0,279.0,264.0,350.0,308.0,355.0,382.0,344.0,593.0,351.0,364.0,393.0,454.0,463.0,407.0,537.0,472.0,386.0,554.0,861.0,528.0,548.0,732.0,660.0,602.0,652.0,757.0,638.0,923.0,789.0,720.0,626.0,612.0,922.0,700.0,666.0,975.0,654.0,1134.0,594.0,748.0,652.0,630.0,1021.0,709.0,683.0,780.0,715.0,670.0,650.0,1225.0,691.0,624.0,700.0,797.0,659.0,493.0,639.0,473.0,593.0,381.0,327.0,271.0,149.0,156.0,87.0,14.0,
