CVEGEO,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02
00000,1.0,,1.0,,,1.0,,2.0,2.0,1.0,,,4.0,5.0,9.0,12.0,11.0,12.0,10.0,25.0,17.0,24.0,35.0,30.0,35.0,41.0,38.0,39.0,49.0,62.0,54.0,62.0,71.0,72.0,61.0,55.0,75.0,66.0,84.0,60.0,98.0,76.0,84.0,108.0,84.0,87.0,73.0,83.0,87.0,54.0,81.0,53.0,33.0,34.0,39.0,23.0,17.0,13.0,8.0,4.0,3.0,1.0,1.0
01,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,3.0,,,,,1.0,,,,,,1.0,,,,,,
02,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,1.0,3.0,,,3.0,2.0,6.0,4.0,1.0,4.0,12.0,6.0,8.0,9.0,8.0,11.0,15.0,9.0,4.0,6.0,15.0,19.0,14.0,7.0,14.0,9.0,8.0,11.0,9.0,4.0,5.0,2.0,9.0,1.0,1.0,2.0,3.0,1.0,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,3.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,
05,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,,2.0,1.0,,1.0,1.0,4.0,2.0,1.0,,3.0,1.0,1.0,3.0,2.0,1.0,,,1.0,,,,,1.0,3.0,1.0,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
07,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,
08,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,2.0,2.0,,2.0,3.0,1.0,7.0,3.0,3.0,7.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,,3.0,3.0,5.0,,4.0,4.0,1.0,4.0,2.0,1.0,1.0,,2.0,,,,,,,
09,,,1.0,,,1.0,,,1.0,,,,,1.0,3.0,4.0,3.0,4.0,4.0,13.0,3.0,6.0,9.0,7.0,9.0,13.0,6.0,9.0,9.0,18.0,11.0,16.0,14.0,9.0,12.0,10.0,14.0,14.0,13.0,8.0,22.0,10.0,16.0,13.0,10.0,11.0,13.0,9.0,9.0,10.0,9.0,7.0,9.0,3.0,6.0,2.0,,2.0,,1.0,,,
10,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,4.0,,3.0,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,,,,,
12,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,2.0,,2.0,3.0,2.0,,2.0,1.0,1.0,,1.0,4.0,2.0,4.0,1.0,4.0,,1.0,4.0,1.0,6.0,1.0,,2.0,1.0,2.0,1.0,1.0,,,,,
13,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,,,
14,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,2.0,,,3.0,1.0,1.0,1.0,,,1.0,,2.0,,1.0,2.0,,2.0,1.0,,2.0,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,
15,,,,,,,,,1.0,,,,1.0,,2.0,1.0,1.0,,,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,8.0,3.0,6.0,9.0,16.0,6.0,6.0,14.0,11.0,8.0,5.0,11.0,11.0,10.0,17.0,8.0,15.0,10.0,22.0,17.0,11.0,12.0,6.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,,,
16,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,,,,,,
17,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,2.0,,2.0,,1.0,,1.0,1.0,,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,,3.0,,1.0,,1.0,1.0,,,
18,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,2.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,
19,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,2.0,,,2.0,,1.0,,,1.0,,,,4.0,2.0,2.0,1.0,,,2.0,,,,,,1.0,1.0,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,3.0,2.0,2.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,
21,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,2.0,1.0,2.0,3.0,,,1.0,4.0,1.0,4.0,4.0,2.0,1.0,10.0,3.0,3.0,1.0,3.0,2.0,,4.0,7.0,6.0,2.0,6.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,6.0,,1.0,2.0,,,2.0,1.0,,1.0,,
22,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,
23,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,,3.0,7.0,4.0,7.0,1.0,3.0,4.0,6.0,9.0,7.0,6.0,4.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,,,,,,
24,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,
25,1.0,,,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,3.0,7.0,4.0,3.0,6.0,4.0,2.0,4.0,6.0,8.0,4.0,6.0,7.0,7.0,4.0,7.0,6.0,10.0,3.0,8.0,2.0,6.0,9.0,4.0,2.0,4.0,5.0,4.0,3.0,6.0,3.0,1.0,4.0,3.0,2.0,,,,,,,
26,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,2.0,2.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,1.0,2.0,2.0,,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,
27,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,6.0,11.0,5.0,5.0,8.0,7.0,12.0,11.0,7.0,4.0,5.0,6.0,5.0,6.0,6.0,4.0,4.0,3.0,,3.0,1.0,3.0,,,,1.0
28,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,3.0,,1.0,,,,,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,2.0,,1.0,,2.0,,1.0,,,,,,
30,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,4.0,2.0,,2.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,8.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,
31,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,3.0,,,,1.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,
32,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,
01001,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,3.0,,,,,1.0,,,,,,1.0,,,,,,
02001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
02002,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,2.0,,1.0,4.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,
02003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
02004,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,1.0,2.0,,,2.0,2.0,4.0,2.0,1.0,3.0,7.0,3.0,3.0,7.0,5.0,6.0,13.0,7.0,3.0,3.0,13.0,17.0,12.0,5.0,10.0,6.0,5.0,9.0,6.0,4.0,5.0,2.0,7.0,1.0,,1.0,2.0,,,,,,,,
02005,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
03003,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
03008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
04001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
04002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,
04003,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,
04011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
05002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
05006,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
05010,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
05014,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,
05018,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,1.0,,1.0,,2.0,1.0,1.0,,2.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,
05020,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
05025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
05029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
05030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
05031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
05035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
06007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
07019,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07041,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
07057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
07089,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
07097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
07101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
08005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
08011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
08017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08019,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,
08028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
08037,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,,1.0,2.0,1.0,7.0,3.0,3.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,4.0,1.0,,2.0,3.0,5.0,,3.0,4.0,1.0,4.0,1.0,1.0,,,1.0,,,,,,,
08055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
09002,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,
09003,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,
09004,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
09005,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,2.0,1.0,,1.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,5.0,3.0,,5.0,2.0,2.0,7.0,5.0,6.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,,1.0,,,,,,,,
09006,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,1.0,1.0,,,2.0,,1.0,,,,,,2.0,,1.0,,,,,,3.0,1.0,,,,,,,,,,,
09007,,,1.0,,,,,,,,,,,,,,,1.0,,4.0,,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,2.0,,,,1.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,,2.0,2.0,3.0,,,,,,,,
09008,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
09009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
09010,,,,,,1.0,,,,,,,,,,,2.0,,,2.0,,,1.0,1.0,,2.0,,1.0,1.0,3.0,2.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,
09011,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
09012,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
09013,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,
09014,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,2.0,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,,,
09015,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,2.0,,1.0,,,,1.0,,,3.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,
09016,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,
09017,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,
10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
10007,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
11007,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,
11011,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11015,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
11018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
