CVEGEO,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03
00000,1.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,,2.0,2.0,1.0,,,5.0,6.0,10.0,15.0,12.0,13.0,15.0,28.0,24.0,27.0,42.0,34.0,43.0,46.0,48.0,52.0,59.0,75.0,65.0,98.0,96.0,98.0,86.0,78.0,120.0,116.0,149.0,115.0,185.0,138.0,170.0,210.0,178.0,222.0,212.0,240.0,285.0,249.0,371.0,239.0,248.0,267.0,332.0,327.0,292.0,350.0,295.0,271.0,376.0,498.0,318.0,313.0,400.0,452.0,367.0,397.0,470.0,389.0,631.0,491.0,389.0,410.0,393.0,528.0,432.0,411.0,546.0,454.0,594.0,395.0,496.0,473.0,452.0,603.0,452.0,448.0,488.0,463.0,457.0,531.0,828.0,483.0,453.0,474.0,509.0,506.0,424.0,559.0,459.0,536.0,359.0,455.0,355.0,347.0,471.0,336.0,283.0,318.0,303.0,307.0,205.0,212.0,179.0,156.0,114.0,97.0,76.0,49.0,39.0,26.0,8.0,5.0,1.0
01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,3.0,1.0,,2.0,,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,6.0,6.0,3.0,6.0,,2.0,3.0,6.0,3.0,3.0,2.0,4.0,1.0,8.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,10.0,5.0,2.0,4.0,1.0,,,5.0,,,1.0,,,,,,1.0,1.0,
02,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,,,4.0,3.0,6.0,4.0,2.0,5.0,13.0,6.0,10.0,13.0,10.0,14.0,16.0,9.0,9.0,13.0,23.0,30.0,21.0,12.0,27.0,22.0,23.0,21.0,21.0,22.0,19.0,26.0,44.0,24.0,32.0,18.0,21.0,28.0,27.0,27.0,31.0,24.0,31.0,43.0,34.0,29.0,21.0,39.0,37.0,34.0,40.0,30.0,47.0,27.0,31.0,35.0,27.0,35.0,23.0,24.0,28.0,28.0,37.0,27.0,33.0,18.0,22.0,24.0,28.0,24.0,20.0,18.0,24.0,30.0,29.0,20.0,30.0,17.0,19.0,21.0,19.0,12.0,20.0,36.0,13.0,11.0,18.0,13.0,14.0,11.0,25.0,8.0,11.0,13.0,4.0,3.0,6.0,3.0,4.0,1.0,,,1.0,,,,
03,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,,,3.0,,1.0,,,1.0,,,,,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,1.0,,,1.0,1.0,,2.0,,,,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,,,3.0,2.0,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,,2.0,2.0,1.0,6.0,1.0,,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,6.0,2.0,4.0,1.0,6.0,1.0,2.0,1.0,2.0,3.0,1.0,5.0,4.0,5.0,4.0,2.0,,2.0,4.0,5.0,4.0,8.0,3.0,3.0,3.0,7.0,4.0,5.0,4.0,5.0,6.0,4.0,6.0,6.0,4.0,5.0,6.0,10.0,6.0,6.0,4.0,3.0,1.0,1.0,3.0,1.0,,,,1.0,,,,
05,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,,3.0,2.0,,1.0,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,,,,1.0,4.0,1.0,1.0,3.0,1.0,,2.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,5.0,8.0,5.0,5.0,6.0,8.0,6.0,3.0,7.0,8.0,6.0,7.0,5.0,1.0,2.0,3.0,4.0,7.0,3.0,5.0,4.0,6.0,6.0,3.0,2.0,7.0,8.0,4.0,1.0,3.0,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,2.0,,,,,,,,1.0,,2.0,,,1.0,,1.0,,,,,,1.0,1.0,,2.0,4.0,1.0,1.0,2.0,2.0,,2.0,1.0,4.0,,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,,,3.0,1.0,,2.0,3.0,6.0,3.0,2.0,1.0,3.0,,1.0,3.0,2.0,,1.0,,,,,,1.0,,,
07,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,5.0,1.0,1.0,2.0,3.0,6.0,4.0,9.0,2.0,5.0,3.0,1.0,6.0,6.0,6.0,16.0,5.0,10.0,12.0,11.0,12.0,9.0,8.0,17.0,15.0,12.0,11.0,19.0,16.0,13.0,17.0,16.0,16.0,6.0,12.0,13.0,19.0,35.0,20.0,14.0,14.0,9.0,14.0,11.0,16.0,7.0,16.0,6.0,18.0,15.0,10.0,17.0,12.0,5.0,7.0,6.0,16.0,4.0,8.0,6.0,2.0,6.0,,4.0,2.0,2.0,,,,
08,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,2.0,3.0,,3.0,3.0,1.0,7.0,3.0,4.0,7.0,2.0,5.0,4.0,3.0,5.0,5.0,7.0,3.0,2.0,4.0,4.0,9.0,4.0,7.0,11.0,9.0,15.0,6.0,7.0,10.0,9.0,14.0,5.0,13.0,11.0,8.0,9.0,19.0,13.0,11.0,9.0,9.0,4.0,12.0,12.0,8.0,12.0,17.0,6.0,10.0,12.0,3.0,18.0,9.0,12.0,10.0,10.0,8.0,8.0,10.0,6.0,10.0,4.0,12.0,10.0,11.0,8.0,13.0,8.0,4.0,11.0,7.0,6.0,7.0,10.0,8.0,7.0,5.0,6.0,9.0,4.0,2.0,7.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,,4.0,3.0,2.0,2.0,2.0,,,,,
09,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,1.0,3.0,6.0,3.0,4.0,6.0,14.0,5.0,6.0,13.0,8.0,13.0,15.0,11.0,13.0,12.0,25.0,16.0,26.0,22.0,16.0,22.0,22.0,32.0,39.0,36.0,26.0,62.0,34.0,46.0,47.0,33.0,55.0,62.0,60.0,65.0,58.0,95.0,58.0,60.0,59.0,80.0,79.0,71.0,81.0,68.0,57.0,98.0,143.0,69.0,74.0,99.0,102.0,84.0,86.0,110.0,78.0,153.0,107.0,74.0,77.0,79.0,104.0,88.0,89.0,92.0,86.0,101.0,73.0,83.0,82.0,80.0,114.0,85.0,69.0,87.0,71.0,72.0,85.0,149.0,60.0,62.0,77.0,69.0,71.0,51.0,76.0,58.0,63.0,49.0,51.0,40.0,48.0,58.0,30.0,25.0,31.0,30.0,33.0,29.0,24.0,23.0,18.0,13.0,12.0,12.0,7.0,7.0,5.0,,,1.0
