CVEGEO,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
00000,1.0,,,,,1.0,,1.0,2.0,1.0,,,3.0,3.0,6.0,12.0,9.0,8.0,9.0,20.0,15.0,20.0,21.0,20.0,20.0,26.0,23.0,21.0,21.0,33.0,20.0,21.0,26.0,22.0,13.0,19.0,11.0,8.0,4.0,3.0,3.0,3.0
01,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
02,,,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,3.0,,1.0,1.0,,2.0,3.0,1.0,1.0,3.0,2.0,1.0,,1.0,2.0,2.0,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
05,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,,,,,
07,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,
08,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,,1.0,2.0,,4.0,1.0,,3.0,1.0,,1.0,,,,,
09,,,,,,1.0,,,1.0,,,,,1.0,1.0,3.0,3.0,3.0,3.0,10.0,3.0,2.0,5.0,4.0,4.0,7.0,4.0,4.0,4.0,5.0,2.0,3.0,6.0,2.0,3.0,5.0,1.0,,1.0,,1.0,
10,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,1.0,,,,,,,
12,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,
13,,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,
14,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,
15,,,,,,,,,1.0,,,,1.0,,2.0,1.0,,,,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,5.0,1.0,3.0,4.0,6.0,1.0,4.0,1.0,2.0,,2.0,1.0,
16,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,2.0,,,,,1.0,1.0,1.0,3.0,,,1.0,,,,,,
17,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,1.0
18,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,
19,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,,,,
21,,,,,,,,,,1.0,,,,,,1.0,1.0,,,2.0,,2.0,3.0,,,1.0,4.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,,,,1.0
22,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,
23,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,2.0,,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,1.0,,,
24,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
25,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,3.0,4.0,3.0,,4.0,3.0,,,3.0,4.0,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,,
26,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,2.0,,1.0,,1.0,,1.0,,,,,,,,
27,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,4.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,1.0,,
28,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,
30,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,1.0
31,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,
32,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
01001,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
02001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
02002,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,1.0,2.0,,,,1.0,,,,,,,,
02003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
02004,,,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,2.0,,,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,
02005,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
03003,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
03008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,
04003,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
05006,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
05014,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
05017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
05018,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,
05020,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
05029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
05035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
07041,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
07089,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
07097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
08017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
08037,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,,1.0,2.0,,4.0,1.0,,2.0,1.0,,1.0,,,,,
09002,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
09003,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,
09004,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
09005,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,,1.0,,,,,
09006,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,
09007,,,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,
09008,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,
09010,,,,,,1.0,,,,,,,,,,,2.0,,,2.0,,,1.0,,,1.0,,,,2.0,1.0,,1.0,,,1.0,,,,,,
09011,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
09012,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
09013,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
09014,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
09015,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,
09016,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
09017,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,
10007,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
11007,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11015,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,
12001,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
12029,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
12033,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
12055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
13013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
13021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
13048,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
13051,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13052,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
14037,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14039,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
14067,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
14094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
14100,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14101,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
15013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,
15014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
15025,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
15031,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,
15033,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,
15037,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15039,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,
15042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
15054,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15057,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,
15058,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,
15060,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,
15070,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
15081,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
15091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
15104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
