CVEGEO,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24
00000,1.0,,1.0,,,1.0,,2.0,2.0,1.0,,,4.0,4.0,9.0,12.0,11.0,12.0,10.0,25.0,17.0,23.0,33.0,30.0,33.0,39.0,37.0,34.0,45.0,59.0,43.0,56.0,63.0,62.0,52.0,47.0,60.0,51.0,66.0,48.0,70.0,51.0,51.0,57.0,46.0,45.0,30.0,29.0,25.0,14.0,12.0,6.0,4.0,,1.0
01,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
02,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,1.0,3.0,,,2.0,2.0,6.0,4.0,1.0,3.0,12.0,6.0,6.0,9.0,8.0,10.0,14.0,7.0,4.0,5.0,11.0,16.0,10.0,1.0,8.0,4.0,1.0,2.0,1.0,1.0,,,1.0,,,,
03,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,
05,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,,2.0,1.0,,1.0,1.0,4.0,2.0,1.0,,2.0,,,,2.0,1.0,,,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
07,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,
08,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,2.0,2.0,,1.0,3.0,1.0,6.0,2.0,2.0,6.0,1.0,4.0,2.0,2.0,5.0,2.0,2.0,,,1.0,3.0,2.0,,2.0,1.0,,1.0,1.0,,,
09,,,1.0,,,1.0,,,1.0,,,,,1.0,3.0,4.0,3.0,4.0,4.0,13.0,3.0,5.0,9.0,6.0,9.0,13.0,6.0,8.0,8.0,18.0,10.0,12.0,13.0,8.0,11.0,8.0,11.0,9.0,10.0,6.0,15.0,4.0,6.0,6.0,3.0,6.0,4.0,2.0,2.0,,2.0,1.0,1.0,,
10,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,3.0,,1.0,,1.0,,,,
12,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,,2.0,1.0,1.0,,1.0,3.0,2.0,3.0,1.0,3.0,,,3.0,1.0,1.0,,,,
13,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,2.0,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,2.0,1.0,,1.0,,,
14,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,2.0,,,2.0,,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,2.0,1.0,,1.0,,2.0,,1.0,,,,,1.0
15,,,,,,,,,1.0,,,,1.0,,2.0,1.0,1.0,,,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,3.0,6.0,7.0,12.0,5.0,6.0,11.0,9.0,2.0,3.0,9.0,8.0,5.0,8.0,7.0,8.0,5.0,3.0,7.0,4.0,2.0,1.0,,,
16,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,,,2.0,,1.0,,,,1.0,,
17,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,
19,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,
21,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,2.0,1.0,2.0,3.0,,,1.0,4.0,1.0,4.0,4.0,1.0,1.0,9.0,3.0,2.0,1.0,2.0,2.0,,2.0,4.0,6.0,2.0,3.0,1.0,,2.0,2.0,,,,,,,
22,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,
23,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,,3.0,4.0,4.0,6.0,1.0,2.0,3.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,,,,,,
24,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
25,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,3.0,6.0,4.0,1.0,6.0,3.0,1.0,3.0,5.0,7.0,4.0,6.0,6.0,6.0,4.0,7.0,5.0,8.0,3.0,6.0,2.0,4.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,,,,,
26,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,2.0,2.0,,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,5.0,10.0,5.0,4.0,7.0,7.0,6.0,8.0,5.0,,4.0,1.0,3.0,1.0,,,,
28,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,
29,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,2.0,,,,,
30,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,3.0,1.0,,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,1.0,,,,
